day_of_week,respondent_type,overall_system_impression,top_challenge,is_festive_period,age_group,origin_park,source,price,pricing_determination_metric,day_of_the_week,tracking_status,fuel_price_per_litre,destination,package_weight,date,weather_delay_experience,qualitative_suggested_improvements,package_size,origin,day_name,vehicle_type,distance_km,estimated_duration_mins,route_risk
5,Sender,Neutral,Poor network connectivity,False,36–40,Ilesha garage Akure,field_survey,10000,Dynamic pricing,6.0,Sometimes,1280.0,Lagos,light,2026-06-06,,Improve communication between drivers and senders,small,,Saturday,big_bus,0,0,2
5,Sender,Agree,Pricing disputes,False,41–50,Ilesha garage Akure,field_survey,3000,Weight of goods,6.0,Sometimes,1280.0,Ife,medium,2026-06-06,Flooding,Fix poor road infrastructure on routes,medium,,Saturday,small_car,0,0,2
5,Sender,Agree,Pricing disputes,False,26–35,Ilesha garage Akure,field_survey,4500,"Distance, Weight, Fuel cost combo",6.0,Sometimes,1280.0,Ife,medium,2026-06-06,,Reduce delays during festive periods,medium,,Saturday,small_car,0,0,2
5,Sender,Agree,Traffic congestion,False,41–50,Ilesha garage Akure,field_survey,4500,Weight of goods,6.0,Sometimes,1280.0,Ife,medium,2026-06-06,,Improve fuel subsidy to reduce transport cost,medium,,Saturday,small_car,0,0,2
5,Sender,Neutral,Pricing disputes,False,26–35,Northgate Akure,field_survey,9000,Dynamic pricing,6.0,Always,1280.0,Ibadan,medium,2026-06-06,Dust storm,Provide better packaging options,medium,,Saturday,big_bus,0,0,2
5,Driver,Strongly Disagree,Inaccurate addresses,False,41–50,Northgate Akure,field_survey,10000,"Distance, Weight, Fuel cost combo",6.0,Always,1280.0,Lagos,light,2026-06-06,Harmattan,Improve communication between drivers and senders,small,,Saturday,big_bus,0,0,2
5,Sender,Neutral,Poor road infrastructure,False,unknown,Northgate Akure,field_survey,10000,"Distance, Weight, Dynamic combo",6.0,Always,1280.0,Abuja,medium,2026-06-06,Harmattan,Introduce automated pricing with AI,medium,,Saturday,small_car,0,0,2
5,Sender,Agree,Police checkpoints,False,26–35,Ondo garage Akure,field_survey,2500,"Distance, Weight, Dynamic combo",6.0,Rarely,1280.0,Ondo,light,2026-06-06,Heavy rain,Introduce automated pricing with AI,small,,Saturday,small_car,0,0,2
5,Driver,Agree,Vehicle breakdown,False,26–35,Ondo garage Akure,field_survey,7500,Distance only,6.0,Always,1280.0,Lagos,medium,2026-06-06,Flooding,Ensure drivers are vetted properly,medium,,Saturday,small_car,0,0,2
5,Driver,Neutral,Inaccurate addresses,False,41–50,Ondo garage Akure,field_survey,4000,Dynamic pricing,6.0,Sometimes,1280.0,Ondo,heavy,2026-06-06,Heavy rain,Reduce delays during festive periods,large,,Saturday,small_car,0,0,2
5,Driver,Neutral,Poor network connectivity,False,41–50,Ondo garage Akure,field_survey,9000,Type of goods,6.0,Always,1280.0,Benin,very_heavy,2026-06-06,Heavy rain,Real-time tracking will help a lot,extra_large,,Saturday,small_car,0,0,2
5,Sender,unknown,Fuel scarcity,False,36–40,Roadblock Akure,field_survey,6000,Distance only,6.0,Sometimes,1280.0,Osogbo,heavy,2026-06-06,Sometimes rainfall,Allow cashless payment options,large,,Saturday,big_bus,0,0,2
5,Sender,Disagree,Vehicle breakdown,False,36–40,Roadblock Akure,field_survey,5500,"Distance, Weight, Fuel cost combo",6.0,Sometimes,1280.0,Owo,very_heavy,2026-06-06,,unknown,extra_large,,Saturday,small_car,0,0,2
5,Sender,Strongly Agree,Poor road infrastructure,False,unknown,Roadblock Akure,field_survey,2000,"Distance, Weight, Fuel cost combo",6.0,Rarely,1280.0,Owo,light,2026-06-06,Dust storm,Provide better packaging options,small,,Saturday,small_car,0,0,2
5,Sender,unknown,Police checkpoints,False,36–40,Roadblock Akure,field_survey,4000,Weight of goods,6.0,Always,1280.0,Benin,medium,2026-06-06,,Introduce insurance for goods in transit,medium,,Saturday,small_car,0,0,2
5,Sender,Neutral,Inaccurate addresses,False,41–50,Roadblock Akure,field_survey,4700,Distance only,6.0,Sometimes,1280.0,Warri,medium,2026-06-06,Harmattan,Allow cashless payment options,medium,,Saturday,small_car,0,0,2
5,Driver,Agree,Vehicle breakdown,False,41–50,Southgate Akure,field_survey,3500,Weight of goods,6.0,Sometimes,1280.0,Ilesha,light,2026-06-06,Sometimes rainfall,Allow cashless payment options,small,,Saturday,small_car,0,0,2
5,Driver,Disagree,Police checkpoints,False,36–40,Southgate Akure,field_survey,3000,unknown,6.0,Sometimes,1280.0,Ife,light,2026-06-06,Harmattan,Allow cashless payment options,small,,Saturday,small_car,0,0,2
5,Driver,Strongly Disagree,Police checkpoints,False,36–40,Southgate Akure,field_survey,3000,Distance only,6.0,Sometimes,1280.0,Ife,medium,2026-06-06,,Real-time tracking will help a lot,medium,,Saturday,small_car,0,0,2
5,Sender,Agree,Police checkpoints,False,41–50,Southgate Akure,field_survey,10000,Weight of goods,6.0,Sometimes,1280.0,Lagos,heavy,2026-06-06,Flooding,Ensure drivers are vetted properly,large,,Saturday,small_car,0,0,2
2,Sender,Neutral,Vehicle breakdown,True,26–35,Ilesha garage Akure,field_survey,6700,"Distance, Weight, Dynamic combo",3.0,Never,1200.0,Ibadan,light,2026-06-17,Dust storm,Reduce delays during festive periods,small,,Wednesday,big_bus,0,0,2
2,Sender,Strongly Agree,Fuel scarcity,True,36–40,Ilesha garage Akure,field_survey,3000,"Distance, Weight, Fuel cost combo",3.0,Sometimes,1200.0,Ilesha,medium,2026-06-17,Dust storm,Introduce insurance for goods in transit,medium,,Wednesday,small_car,0,0,2
2,Sender,Agree,Fuel scarcity,True,26–35,Northgate Akure,field_survey,5500,unknown,3.0,Always,1200.0,Ibadan,medium,2026-06-17,Heavy rain,Add SMS notifications for delivery status,medium,,Wednesday,small_car,0,0,2
2,Sender,Strongly Agree,Inaccurate addresses,True,41–50,Northgate Akure,field_survey,2700,"Distance, Weight, Dynamic combo",3.0,Always,1200.0,Ife,medium,2026-06-17,Heavy rain,Fix poor road infrastructure on routes,medium,,Wednesday,small_car,0,0,2
2,Sender,Agree,Poor network connectivity,True,unknown,Northgate Akure,field_survey,7000,Dynamic pricing,3.0,Always,1200.0,Lagos,light,2026-06-17,,unknown,small,,Wednesday,small_car,0,0,2
2,Sender,Agree,Poor network connectivity,True,unknown,Northgate Akure,field_survey,7500,Weight of goods,3.0,Sometimes,1200.0,Lagos,light,2026-06-17,Sometimes rainfall,Reduce pricing disputes through transparency,small,,Wednesday,small_car,0,0,2
2,Driver,Strongly Agree,Pricing disputes,True,41–50,Northgate Akure,field_survey,4300,"Distance, Weight, Fuel cost combo",3.0,Rarely,1200.0,Ado-Ekiti,heavy,2026-06-17,,Provide better packaging options,large,,Wednesday,small_car,0,0,2
2,Sender,Disagree,Poor road infrastructure,True,18–25,Northgate Akure,field_survey,2500,"Distance, Weight, Fuel cost combo",3.0,Always,1200.0,Ado-Ekiti,medium,2026-06-17,Sometimes rainfall,Improve fuel subsidy to reduce transport cost,medium,,Wednesday,small_car,0,0,2
2,Driver,Disagree,Poor network connectivity,True,26–35,Ondo garage Akure,field_survey,7000,"Distance, Weight, Fuel cost combo",3.0,Sometimes,1200.0,Lagos,light,2026-06-17,Sometimes rainfall,Provide better packaging options,small,,Wednesday,small_car,0,0,2
2,Driver,Strongly Agree,Traffic congestion,True,36–40,Ondo garage Akure,field_survey,2500,Dynamic pricing,3.0,Always,1200.0,Benin,light,2026-06-17,,Improve fuel subsidy to reduce transport cost,small,,Wednesday,small_car,0,0,2
2,Sender,unknown,Inaccurate addresses,True,41–50,Ondo garage Akure,field_survey,3000,Weight of goods,3.0,Always,1200.0,Benin,light,2026-06-17,Flooding,Introduce automated pricing with AI,small,,Wednesday,small_car,0,0,2
2,Driver,Neutral,Inaccurate addresses,True,41–50,Ondo garage Akure,field_survey,10000,Weight of goods,3.0,Sometimes,1200.0,Lagos,heavy,2026-06-17,Sometimes rainfall,Ensure drivers are vetted properly,large,,Wednesday,big_bus,0,0,2
2,Driver,Strongly Agree,Criminal activities,True,41–50,Roadblock Akure,field_survey,5000,"Distance, Weight, Fuel cost combo",3.0,Sometimes,1200.0,Benin,medium,2026-06-17,Dust storm,Fix poor road infrastructure on routes,medium,,Wednesday,small_car,0,0,2
2,Driver,unknown,Fuel scarcity,True,18–25,Roadblock Akure,field_survey,7000,Dynamic pricing,3.0,Never,1200.0,Warri,heavy,2026-06-17,Sometimes rainfall,Reduce delays during festive periods,large,,Wednesday,small_car,0,0,2
2,Sender,Neutral,Pricing disputes,True,Above 50,Roadblock Akure,field_survey,2000,Type of goods,3.0,Never,1200.0,Osogbo,light,2026-06-17,Flooding,Add SMS notifications for delivery status,small,,Wednesday,small_car,0,0,2
2,Driver,Disagree,Traffic congestion,True,Above 50,Roadblock Akure,field_survey,2700,Distance only,3.0,Always,1200.0,Owo,light,2026-06-17,Flooding,Improve communication between drivers and senders,small,,Wednesday,small_car,0,0,2
2,Sender,Agree,Police checkpoints,True,41–50,Roadblock Akure,field_survey,2000,unknown,3.0,Sometimes,1200.0,Osogbo,light,2026-06-17,Dust storm,unknown,small,,Wednesday,big_bus,0,0,2
2,Sender,Strongly Disagree,Vehicle breakdown,True,18–25,Southgate Akure,field_survey,2700,Dynamic pricing,3.0,Always,1200.0,Ife,medium,2026-06-17,Flooding,Provide better packaging options,medium,,Wednesday,small_car,0,0,2
2,Sender,Strongly Disagree,Police checkpoints,True,18–25,Southgate Akure,field_survey,2700,"Distance, Weight, Fuel cost combo",3.0,Always,1200.0,Ilesha,very_light,2026-06-17,Sometimes rainfall,Reduce pricing disputes through transparency,envelope,,Wednesday,small_car,0,0,2
2,Driver,Agree,Vehicle breakdown,True,unknown,Southgate Akure,field_survey,7500,Weight of goods,3.0,Sometimes,1200.0,Lagos,light,2026-06-17,,Introduce automated pricing with AI,small,,Wednesday,small_car,0,0,2
2,Driver,Neutral,Traffic congestion,True,Above 50,Southgate Akure,field_survey,2000,"Distance, Weight, Fuel cost combo",3.0,Never,1200.0,Ilesha,light,2026-06-17,Dust storm,Introduce insurance for goods in transit,small,,Wednesday,small_car,0,0,2
2,Sender,Strongly Disagree,Fuel scarcity,True,26–35,Southgate Akure,field_survey,3000,Dynamic pricing,3.0,Sometimes,1200.0,Ife,medium,2026-06-17,,Reduce delays during festive periods,medium,,Wednesday,small_car,0,0,2
3,Sender,Agree,Vehicle breakdown,True,36–40,Ilesha garage Akure,field_survey,10000,Distance only,4.0,Sometimes,1200.0,Ibadan,very_heavy,2026-06-18,Sometimes rainfall,Introduce insurance for goods in transit,extra_large,,Thursday,big_bus,0,0,2
3,Driver,Strongly Disagree,Vehicle breakdown,True,41–50,Northgate Akure,field_survey,4700,Type of goods,4.0,Sometimes,1200.0,Ife,medium,2026-06-18,Flooding,Better customer support when goods are delayed,medium,,Thursday,big_bus,0,0,2
3,Sender,Neutral,Inaccurate addresses,True,unknown,Northgate Akure,field_survey,10000,Distance only,4.0,Always,1200.0,Abuja,medium,2026-06-18,Harmattan,Real-time tracking will help a lot,medium,,Thursday,small_car,0,0,2
